id	features.plot	pct.exp	avg.exp.scaled
Mki67+ NK	Ncr1	96.7611336032389	0.483147045555941
Mki67+ NK	Fcgr3	42.5101214574899	0.39108577154848
Mki67+ NK	Xcl1	32.7935222672065	-0.285258345617494
Mki67+ NK	Rora	11.7408906882591	-0.521273329248712
Mki67+ NK	Ccl5	55.8704453441296	-0.48326078725991
Mki67+ NK	Ccl4	39.6761133603239	-0.389933674636148
Mki67+ NK	Ccr2	75.7085020242915	0.0675997847952439
Mki67+ NK	Klrb1a	77.7327935222672	-0.446200183924246
Mki67+ NK	Gzmg	14.9797570850202	-0.409810807864445
Mki67+ NK	Gzmf	24.2914979757085	-0.31785057941369
Mki67+ NK	Mki67	91.497975708502	1.78852598415939
Mki67+ NK	Top2a	91.497975708502	1.78860271708083
Gzmg+ NK	Ncr1	81.0951760104303	-1.16675798272627
Gzmg+ NK	Fcgr3	56.3233376792699	1.38226743144878
Gzmg+ NK	Xcl1	5.21512385919166	-0.720982198542473
Gzmg+ NK	Rora	6.51890482398957	-0.615546233138204
Gzmg+ NK	Ccl5	18.6440677966102	-0.799867847923537
Gzmg+ NK	Ccl4	14.4719687092568	-1.09428397089813
Gzmg+ NK	Ccr2	59.0612777053455	-1.34129043553866
Gzmg+ NK	Klrb1a	63.102998696219	-1.26945641999957
Gzmg+ NK	Gzmg	65.7105606258149	1.78843879247213
Gzmg+ NK	Gzmf	72.490221642764	1.78389568872271
Gzmg+ NK	Mki67	18.9048239895698	-0.452265536002365
Gzmg+ NK	Top2a	27.3794002607562	-0.449883954213778
Ccr2+ NK	Ncr1	90.5140434552199	0.924485126489844
Ccr2+ NK	Fcgr3	27.4509803921569	0.177425624670193
Ccr2+ NK	Xcl1	31.3195548489666	-0.261935284163948
Ccr2+ NK	Rora	10.2808691043985	-0.452970805628444
Ccr2+ NK	Ccl5	59.8834128245893	-0.201335150052485
Ccr2+ NK	Ccl4	36.3010068892422	-0.302822249323221
Ccr2+ NK	Ccr2	74.5098039215686	1.34578627309491
Ccr2+ NK	Klrb1a	76.9475357710652	1.15769924150704
Ccr2+ NK	Gzmg	4.61049284578696	-0.458171692462183
Ccr2+ NK	Gzmf	13.4075251722311	-0.478411758990616
Ccr2+ NK	Mki67	12.1356650768415	-0.447540039096323
Ccr2+ NK	Top2a	17.0641229464759	-0.46067282867908
Ccl5+ NK	Ncr1	64.1331346249379	-0.992664646814005
Ccl5+ NK	Fcgr3	14.207650273224	-0.942680105365603
Ccl5+ NK	Xcl1	21.7585692995529	-0.489759781653151
Ccl5+ NK	Rora	16.2444113263785	-0.174763955384726
Ccl5+ NK	Ccl5	89.7665176353701	1.73830373487382
Ccl5+ NK	Ccl4	65.3750620963736	1.58707499673228
Ccl5+ NK	Ccr2	51.1177347242921	-0.473443887059112
Ccl5+ NK	Klrb1a	53.4028812717337	-0.309859178760012
Ccl5+ NK	Gzmg	2.83159463487332	-0.459682852785576
Ccl5+ NK	Gzmf	7.45156482861401	-0.500871902009489
Ccl5+ NK	Mki67	12.9657228017884	-0.417652344298333
Ccl5+ NK	Top2a	17.933432687531	-0.418985978337483
Xcl1+ NK	Ncr1	82.7458256029685	0.751790457494489
Xcl1+ NK	Fcgr3	15.2133580705009	-1.00809872230185
Xcl1+ NK	Xcl1	85.5287569573284	1.75793560997707
Xcl1+ NK	Rora	56.5862708719852	1.76455432340009
Xcl1+ NK	Ccl5	66.9758812615955	-0.253839949637889
Xcl1+ NK	Ccl4	42.8571428571429	0.199964898125225
Xcl1+ NK	Ccr2	56.2152133580705	0.401348264707616
Xcl1+ NK	Klrb1a	66.0482374768089	0.867816541176786
Xcl1+ NK	Gzmg	1.66975881261596	-0.460773439359925
Xcl1+ NK	Gzmf	9.64749536178108	-0.48676144830892
Xcl1+ NK	Mki67	8.16326530612245	-0.471068064762365
Xcl1+ NK	Top2a	14.2857142857143	-0.459059955850488
