cell	sample	OR	padj
Xcl1+ NK	Ctrl_D04_Center	1.13727729794962	0.459066563448467
Xcl1+ NK	LDRT_D04_Center	0.856565550697745	0.609195860008295
Xcl1+ NK	SBRT_D04_Center	0.814311077106585	0.434506876581375
Xcl1+ NK	ERT_D04_Center	2.50660242130147	1.59547971335157e-10
Xcl1+ NK	Ctrl_D04_Peri	0.644084247674174	0.00501684644378351
Xcl1+ NK	LDRT_D04_Peri	0.920732111729503	0.770964018114064
Xcl1+ NK	SBRT_D04_Peri	1.00868684085691	0.958046164035452
Xcl1+ NK	ERT_D04_Peri	4.68490054720108	8.08722898797434e-39
Ccl5+ NK	Ctrl_D04_Center	0.448626587885309	1.0883472577715e-16
Ccl5+ NK	LDRT_D04_Center	0.944950081528617	0.697541057285158
Ccl5+ NK	SBRT_D04_Center	0.544115775564733	1.7711742175286e-08
Ccl5+ NK	ERT_D04_Center	3.8800281145849	6.3895606156161e-94
Ccl5+ NK	Ctrl_D04_Peri	0.388199796027883	5.4871232264914e-28
Ccl5+ NK	LDRT_D04_Peri	0.978789714745688	0.905695056083763
Ccl5+ NK	SBRT_D04_Peri	0.496179342412601	1.59547971335157e-10
Ccl5+ NK	ERT_D04_Peri	8.38116617839327	3.46715507625553e-318
Gzmg+ NK	Ctrl_D04_Center	0.588382594839697	0.000529126276483728
Gzmg+ NK	LDRT_D04_Center	1.28089215327099	0.109568950078158
Gzmg+ NK	SBRT_D04_Center	1.01713373534022	0.935159895756577
Gzmg+ NK	ERT_D04_Center	1.5779346644184	0.00106666188159205
Gzmg+ NK	Ctrl_D04_Peri	0.419380420102044	5.22992321356797e-10
Gzmg+ NK	LDRT_D04_Peri	1.14225323955669	0.415128118214594
Gzmg+ NK	SBRT_D04_Peri	1.70089623814434	2.13706108486171e-05
Gzmg+ NK	ERT_D04_Peri	3.11227271757267	4.7421333411972e-25
Ccr2+ NK	Ctrl_D04_Center	1.33482883443362	0.000163085701606523
Ccr2+ NK	LDRT_D04_Center	0.609913596384685	1.67062029606848e-05
Ccr2+ NK	SBRT_D04_Center	1.17494570618184	0.0984755018623035
Ccr2+ NK	ERT_D04_Center	1.19173797972608	0.0935915465595415
Ccr2+ NK	Ctrl_D04_Peri	1.06027687088656	0.504353796508175
Ccr2+ NK	LDRT_D04_Peri	0.562906341491785	3.35567804652545e-08
Ccr2+ NK	SBRT_D04_Peri	1.0481576340437	0.697541057285158
Ccr2+ NK	ERT_D04_Peri	1.97743765994698	1.90521297977159e-17
Mki67+ NK	Ctrl_D04_Center	1.57941117671896	0.0317906995077812
Mki67+ NK	LDRT_D04_Center	0.843670353581031	0.697541057285158
Mki67+ NK	SBRT_D04_Center	1.32669005432666	0.319059749483657
Mki67+ NK	ERT_D04_Center	0.57346437878005	0.171055098838017
Mki67+ NK	Ctrl_D04_Peri	2.2162930579246	1.21371812674133e-06
Mki67+ NK	LDRT_D04_Peri	0.325834540610518	0.0020069192804002
Mki67+ NK	SBRT_D04_Peri	2.08153842984081	0.000476451471327544
Mki67+ NK	ERT_D04_Peri	0.997583880174104	1
