Cytokine	ES	pval	padj	Group
4-1BBL	-1.41280537	0.439325577	0.590343745	Xcl1
AdipoQ	-4.517125905	0.024659457	0.09411837	Xcl1
ADSF	-2.995590116	0.242338536	0.393228568	Xcl1
APRIL	-4.720308157	0.011642492	0.052697595	Xcl1
BAFF	-3.215338815	0.109776609	0.248114254	Xcl1
C3a	-5.263773513	0.011603538	0.052697595	Xcl1
C5a	-7.028056867	0.000397569	0.004476135	Xcl1
CD27L	-2.924713009	0.17313815	0.330886243	Xcl1
CD30L	-4.154980131	0.026101009	0.09411837	Xcl1
CD40L	-1.901366437	0.332643143	0.484869667	Xcl1
CT-1	-5.511303099	0.010706973	0.052697595	Xcl1
Decorin	-0.686002302	0.724036192	0.819304112	Xcl1
EGF	-3.69709357	0.089709218	0.219881109	Xcl1
FasL	-5.309541917	0.008229037	0.050549799	Xcl1
FGF-b	0.656063724	0.568317396	0.698748777	Xcl1
FLT3L	-5.384091811	0.009229588	0.052697595	Xcl1
G-CSF	-0.801092508	0.832427466	0.894859525	Xcl1
GDNF	-0.056668331	0.932820364	0.932820364	Xcl1
GITRL	-4.021883869	0.035720683	0.113776991	Xcl1
GM-CSF	-1.940732972	0.325379112	0.482458683	Xcl1
HGF	0.560573141	0.584998976	0.698748777	Xcl1
IFN-a1	8.511038154	8.75874E-06	0.000376626	Xcl1
IFN-b	6.994475009	0.000142877	0.002457477	Xcl1
IFN-g	2.477073935	0.112516929	0.248114254	Xcl1
IFN-e	-6.563410132	0.000776942	0.00742411	Xcl1
IFN-k	-0.179139616	0.911478215	0.932820364	Xcl1
IFN-l2	0.193964422	0.926994333	0.932820364	Xcl1
IGF-1	-3.037325383	0.1833782	0.33554309	Xcl1
IL-10	-2.757964822	0.1833782	0.33554309	Xcl1
IL-11	-3.160785284	0.15184424	0.296786469	Xcl1
IL-12	-2.898862248	0.202073747	0.347566845	Xcl1
IL-13	-2.331053979	0.312331798	0.47123745	Xcl1
IL-15	-0.596792857	0.787164506	0.85691326	Xcl1
IL-17A	-2.115974979	0.439325577	0.590343745	Xcl1
IL-17B	-1.599439459	0.584998976	0.698748777	Xcl1
IL-17C	-5.504216854	0.005400792	0.038705677	Xcl1
IL-17D	-3.63668121	0.089248178	0.219881109	Xcl1
IL-17E	-1.781762952	0.543730045	0.698748777	Xcl1
IL-17F	-4.142626917	0.038152231	0.117181853	Xcl1
IL-18	-0.623116066	0.901797374	0.932820364	Xcl1
IL-19	-0.980764872	0.574962693	0.698748777	Xcl1
IL-1Ra	-3.166113038	0.142306693	0.291317438	Xcl1
IL-1a	-2.431957472	0.193222659	0.346190598	Xcl1
