orig.ident	Index	Group	Site
Ctrl_D04_Center	3.41186703919507	Ctrl	D04_Center
Ctrl_D04_Peri	3.61874856615176	Ctrl	D04_Peri
Ctrl_D10_Tumor	3.49222418691333	Ctrl	D10_Tumor
ERT_D04_Center	4.84673016161956	ERT	D04_Center
ERT_D04_Peri	5.4597749784164	ERT	D04_Peri
ERT_D10_Tumor	2.79569288510246	ERT	D10_Tumor
LDRT_D04_Center	4.02357664652858	LDRT	D04_Center
LDRT_D04_Peri	3.79086363538351	LDRT	D04_Peri
LDRT_D10_Tumor	2.08448388217028	LDRT	D10_Tumor
SBRT_D04_Center	3.67028633711674	SBRT	D04_Center
SBRT_D04_Peri	3.55306850195587	SBRT	D04_Peri
SBRT_D10_Tumor	3.39161314763832	SBRT	D10_Tumor
